timestamp_ms,temp_C,bus_V,current_mA_abs,power_mW,mse_scaled,decision
1774179639318,31.4375,3.312,0.6,4.0,0.767012,NORMAL
1774179817687,31.5,3.312,0.8,4.0,2.327555,NORMAL
1774179820925,31.4375,3.312,0.8,4.0,0.74542,NORMAL
1774179824172,31.4375,3.308,1.0,4.0,0.647231,NORMAL
1774179827414,31.4375,3.312,0.8,4.0,0.74542,NORMAL
1774179830660,31.4375,3.312,0.9,4.0,0.723753,NORMAL
1774179833902,31.4375,3.312,1.1,4.0,0.695878,NORMAL
1774179837145,31.4375,3.308,1.1,4.0,0.641542,NORMAL
1774179840388,31.4375,3.312,0.6,4.0,0.767012,NORMAL
1774179843631,31.4375,3.308,1.0,4.0,0.647231,NORMAL
1774179846874,31.4375,3.312,1.0,4.0,0.707238,NORMAL
1774179850117,31.4375,3.308,0.9,4.0,0.656623,NORMAL
1774179853360,31.4375,3.312,0.8,4.0,0.74542,NORMAL
1774179856603,31.4375,3.312,0.9,4.0,0.723753,NORMAL
1774179859846,31.4375,3.312,0.7,4.0,0.772242,NORMAL
1774179863089,31.4375,3.312,0.7,4.0,0.772242,NORMAL
1774179866332,31.375,3.312,0.8,4.0,0.256758,NORMAL
1774179869575,31.375,3.308,0.9,4.0,0.204144,NORMAL
1774179872818,31.375,3.312,1.0,4.0,0.223624,NORMAL
1774278954795,30.8125,3.296,1.5,6.0,54.00581,ANOMALY
1774278958041,30.8125,3.296,1.3,4.0,53.992451,ANOMALY
1774278961285,30.8125,3.296,1.6,6.0,54.020214,ANOMALY
1774278964528,30.8125,3.296,1.3,4.0,53.992451,ANOMALY
1774278967771,30.8125,3.296,1.5,6.0,54.00581,ANOMALY
1774278971014,30.8125,3.296,1.5,6.0,54.00581,ANOMALY
1774278974257,30.8125,3.296,1.4,4.0,53.996552,ANOMALY
1774324507046,30.6875,3.296,1.5,6.0,1.578055,NORMAL
1774324510288,30.6875,3.296,1.4,4.0,1.582973,NORMAL
1774324513529,30.6875,3.296,1.6,6.0,1.581142,NORMAL
1774324516775,30.6875,3.296,1.6,6.0,1.581142,NORMAL
1774325233066,30.75,3.296,1.5,4.0,1.348523,NORMAL
1774325236308,30.75,3.292,1.5,4.0,2.153481,NORMAL
1774325239551,30.8125,3.296,1.3,4.0,1.172919,NORMAL
1774325242795,30.75,3.296,1.4,4.0,1.353441,NORMAL
1774325246039,30.8125,3.296,1.3,4.0,1.172919,NORMAL
1774325249280,30.8125,3.296,1.3,4.0,1.172919,NORMAL
1774325252525,30.8125,3.296,1.6,6.0,1.158164,NORMAL
1774325255768,30.8125,3.296,1.3,6.0,1.172919,NORMAL
1774325259010,30.8125,3.296,1.8,6.0,1.188351,NORMAL
1774325262252,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325265496,30.8125,3.296,1.4,6.0,1.159996,NORMAL
1774325268739,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325271982,30.8125,3.296,1.5,4.0,1.155078,NORMAL
1774325275225,30.8125,3.296,1.3,6.0,1.172919,NORMAL
1774325278470,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325281711,30.8125,3.296,1.6,4.0,1.158164,NORMAL
1774325284955,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325288198,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325291441,30.8125,3.296,1.6,6.0,1.158164,NORMAL
1774325294684,30.8125,3.296,1.2,4.0,1.193846,NORMAL
1774325297927,30.8125,3.296,1.6,6.0,1.158164,NORMAL
1774325301169,30.8125,3.296,1.2,6.0,1.193846,NORMAL
1774325304414,30.8125,3.3,1.4,4.0,0.651121,NORMAL
1774325307657,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325310900,30.8125,3.3,1.4,4.0,0.651121,NORMAL
1774325314143,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325317386,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325320629,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325323873,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325327109,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325330358,30.8125,3.3,1.4,6.0,0.651121,NORMAL
1774325333601,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325336844,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325340087,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325343331,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325346573,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325349817,30.8125,3.296,1.6,6.0,1.158164,NORMAL
1774325353055,30.8125,3.296,1.3,6.0,1.172919,NORMAL
1774325356303,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325359545,30.875,3.296,1.6,4.0,1.000806,NORMAL
1774325362788,30.8125,3.296,1.6,4.0,1.158164,NORMAL
1774325366032,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325369274,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325372516,30.8125,3.296,1.5,6.0,1.155078,NORMAL
1774325375761,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1774325379004,30.8125,3.296,1.7,6.0,1.169255,NORMAL
1774325382247,30.875,3.3,1.5,4.0,0.488844,NORMAL
1774325385485,30.875,3.296,1.4,4.0,1.002637,NORMAL
1774325388731,30.8125,3.3,1.5,6.0,0.646203,NORMAL
1774325391977,30.8125,3.296,1.5,4.0,1.155078,NORMAL
1774325395219,30.8125,3.3,1.5,4.0,0.646203,NORMAL
1774325398463,30.8125,3.296,1.4,4.0,1.159996,NORMAL
1775026108710,31.4375,3.256,1.5,4.0,24.03093,ANOMALY
1775026111953,31.4375,3.264,1.5,4.0,17.116163,ANOMALY
1775026115197,31.5,3.264,1.4,4.0,17.566156,ANOMALY
1775026118438,31.4375,3.268,1.6,4.0,13.934765,ANOMALY
1775026121684,31.4375,3.272,1.2,4.0,11.897882,ANOMALY
1775026124925,31.4375,3.272,1.5,4.0,11.385577,ANOMALY
1775026128169,31.4375,3.272,1.5,4.0,11.385577,ANOMALY
1775026131412,31.5,3.268,1.8,6.0,13.993134,ANOMALY
1775026134655,31.5,3.268,1.2,4.0,14.905693,ANOMALY
1775026137898,31.4375,3.268,1.4,6.0,14.277551,ANOMALY
1775026141140,31.5,3.272,1.5,4.0,11.594781,ANOMALY
1775026144384,31.5,3.272,1.4,4.0,11.764496,ANOMALY
1775026147628,31.5,3.272,1.5,4.0,11.594781,ANOMALY
1775026150870,31.5,3.268,1.3,4.0,14.719649,ANOMALY
1775026154113,31.5,3.272,1.4,4.0,11.764496,ANOMALY
1775026157357,31.5,3.272,1.4,4.0,11.764496,ANOMALY
1775026160599,31.5,3.268,1.6,6.0,14.215142,ANOMALY
1775026163843,31.5,3.272,1.4,4.0,11.764496,ANOMALY
1775026167085,31.5,3.272,1.3,4.0,11.940938,ANOMALY
1775026170329,31.5,3.272,1.2,4.0,12.104367,ANOMALY
1775026173572,31.5,3.272,1.5,4.0,11.594781,ANOMALY
1775026176815,31.5,3.272,1.3,4.0,11.940938,ANOMALY
1775026180057,31.5,3.272,1.2,4.0,12.104367,ANOMALY
1775026183301,31.5625,3.272,1.4,4.0,12.009868,ANOMALY
1775026186545,31.5625,3.276,1.3,4.0,9.705987,ANOMALY
1775026189787,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026193030,31.5625,3.272,1.6,6.0,11.770158,ANOMALY
1775026196273,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026199517,31.5625,3.272,1.5,4.0,11.875908,ANOMALY
1775026202761,31.5625,3.272,1.4,4.0,12.009868,ANOMALY
1775026206004,31.5625,3.272,1.4,4.0,12.009868,ANOMALY
1775026209246,31.5625,3.272,1.4,4.0,12.009868,ANOMALY
1775026212489,31.5625,3.272,1.2,4.0,12.389576,ANOMALY
1775026215732,31.5625,3.272,1.7,4.0,11.694793,ANOMALY
1775026218975,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026222219,31.5625,3.272,1.6,6.0,11.770158,ANOMALY
1775026225462,31.5625,3.276,1.4,4.0,9.540336,ANOMALY
1775026228704,31.5625,3.272,1.5,4.0,11.875908,ANOMALY
1775026231948,31.5625,3.272,1.5,4.0,11.875908,ANOMALY
1775026235191,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026238434,31.5625,3.276,1.5,4.0,9.428988,ANOMALY
1775026241676,31.5625,3.276,1.4,4.0,9.540336,ANOMALY
1775026244920,31.5625,3.272,1.4,4.0,12.009868,ANOMALY
1775026248165,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026251406,31.5625,3.272,1.5,4.0,11.875908,ANOMALY
1775026254650,31.5625,3.272,1.6,4.0,11.770158,ANOMALY
1775026257893,31.5625,3.272,1.6,6.0,11.770158,ANOMALY
1775026261136,31.5625,3.272,1.0,4.0,12.720136,ANOMALY
1775026264378,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026267620,31.5625,3.272,1.5,4.0,11.875908,ANOMALY
1775026270865,31.5625,3.272,1.3,4.0,12.204594,ANOMALY
1775026274107,31.5625,3.276,1.3,4.0,9.705987,ANOMALY
1775026277352,31.5625,3.272,1.6,6.0,11.770158,ANOMALY
1775026280593,31.5625,3.272,1.2,4.0,12.389576,ANOMALY
1775026283838,31.5625,3.272,1.6,6.0,11.770158,ANOMALY
1775026287080,31.5625,3.276,1.2,4.0,9.865125,ANOMALY
1775026290323,31.5625,3.276,1.6,4.0,9.342623,ANOMALY
1775026293566,31.5625,3.272,1.2,4.0,12.389576,ANOMALY
